id,Pendapatan Keluarga,Jumlah Tanggungan dalam Keluarga,Pekerjaan Orang Tua/Wali,Pendidikan Orang Tua/Wali,Kepemilikan Aset,Lokasi Tempat Tinggal,Pengeluaran Bulanan Keluarga,Status Kepesertaan Program Bantuan Pemerintah,Riwayat Beasiswa atau Bantuan Pendidikan,Ayah Hidup?,Ibu Hidup?,Status Kepemilikan Tempat Tinggal,Jumlah (Perkiraan Harga Pasar) Kendaraan yang Dimiliki,Daya Listrik (Watt),Luas Tanah Rumah (m2),Luas Bangunan Rumah (m2),NJOP per Meter,Bahan Atap Rumah,Bahan Tembok Rumah,Bahan Lantai Rumah,Rerata Pengeluaran Listrik & Air per Bulan,Total Hutang,Cicilan Hutang per Bulan,Program Studi,Kota,Jalur Masuk,Golongan UKT
127748,Rp 1.000.000 s.d. Rp 2.000.000,2.0,Tidak Bekerja,SLTA Sederajat,Milik Sendiri,Kab. Sragen,500000.0,KIS/JKS/BPJS,KIPK,Meninggal,Hidup,Milik Sendiri,2.0,900.0,144.0,126.0,103.0,genting,semen,keramik,450000.0,0.0,0.0,Ilmu Politik,Kab. Sragen,SNBT,0.0
90205,lebih dari Rp 5.000.000,2.0,Buruh,SLTA Sederajat,Milik Sendiri,Kabupaten Tangerang ,3500000.0,KIS/JKS/BPJS,Tidak Ada,Hidup,Hidup,Milik Sendiri,6500000.0,900.0,60.0,22.0,128.0,Genteng,Batako Plester,Keramik,320000.0,45000000.0,4500000.0,Geografi,Kabupaten Tangerang ,SNBP,3.0
82795,Rp 3.000.000 s.d. Rp 4.000.000,2.0,Wiraswasta,SD,Milik Sendiri,Kabupaten Grobogan ,600000.0,KIS/JKS/BPJS,Tidak,Hidup,Hidup,Milik Sendiri,20000000.0,450.0,586.0,65.0,128000.0,Genting,Batu Bata,Keramik,,0.0,0.0,Ilmu Politik,Kabupaten Grobogan ,SNBT,4.0
108947,lebih dari Rp 5.000.000,2.0,Wiraswasta,SLTP,Milik Sendiri,Kab. Bogor,2250000.0,KIS/JKS/BPJS,Tidak Dapat,Hidup,Hidup,Milik Sendiri,8000000.0,900.0,93.0,70.0,2176000.0,Kayu dan asbes,Bata merah dan hebel,Keramik,500000.0,0.0,0.0,Pendidikan Ekonomi,Kab. Bogor,SNBT,5.0
89985,Rp 3.000.000 s.d. Rp 4.000.000,,Wiraswasta,MTs,Milik Sendiri,Kabupaten Pemalang ,2310000.0,KIS/JKS/BPJS,Tidak Dapat,Hidup,Hidup,Milik Sendiri,1000000.0,900.0,0.0,57.0,0.0,"Genting tanah liat, asbes, dan seng.",Batu bata,"Keramik, tegel, plester.",105000.0,5000000.0,500000.0,Pendidikan Teknik Elektro,Kabupaten Pemalang ,SNBP,3.0
89757,Rp 1.000.000 s.d. Rp 2.000.000,0.0,Tidak Bekerja,MTs,Menumpang,Kabupaten Lahat ,700000.0,KIS/JKS/BPJS,kipk,Hidup,Hidup,Menumpang,16000000.0,900.0,65.0,54.0,5330.0,SENG,Batu Bata,Keramik Biasa,300000.0,0.0,0.0,Teknik Mesin,Kabupaten Lahat ,SNBP,0.0
62526,Rp 1.000.000 s.d. Rp 2.000.000,3.0,Buruh,MA,Milik Sendiri,Kota Semarang ,500000.0,,-,Hidup,Hidup,Milik Sendiri,5000000.0,900.0,259.0,48.0,1722000.0,Genting tanah liat,Batu Bata,Keramik,110000.0,2000000.0,10000.0,Pendidikan Ekonomi,Kota Semarang ,SNBP,2.0
91185,Rp 3.000.000 s.d. Rp 4.000.000,2.0,Wiraswasta,S-1/D4,Milik Sendiri,Kota Semarang ,2700000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Milik Sendiri,0.0,1300.0,200.0,120.0,0.0,asbes,batako,keramik,265000.0,0.0,0.0,Pendidikan Guru Pendidikan Anak Usia Dini,Kota Semarang ,SNBP,4.0
61407,lebih dari Rp 5.000.000,1.0,Buruh,SLTA Sederajat,Milik Sendiri,Kota Semarang ,2000000.0,,Tidak Ada,Hidup,Hidup,Milik Sendiri,98000000.0,900.0,352.0,168.0,1147000.0,Genting,Bata,Keramik,330000.0,8000000.0,960000.0,Pendidikan Guru Sekolah Dasar,Kota Semarang ,SNBP,6.0
62246,Rp 2.000.000 s.d. Rp 3.000.000,1.0,Pegawai Swasta,SLTA,Menumpang,Kabupaten Kerawang ,1700000.0,,Tidak Ada,Hidup,Hidup,Menumpang,5000000.0,450.0,150.0,75.0,75000.0,Genting,Bata,Keramik,85000.0,0.0,0.0,Manajemen,Kabupaten Kerawang ,SNBP,4.0
82169,lebih dari Rp 5.000.000,1.0,Tidak Bekerja,S1,Milik Sendiri,Kabupaten Temanggung ,1700000.0,KIS/JKS/BPJS,Tidak,Hidup,Hidup,Milik Sendiri,8000000.0,900.0,240.0,150.0,243000.0,genteng,bata dan semen,keramik,300000.0,101000000.0,1322854.0,Ilmu Hukum,Kabupaten Temanggung ,SNBT,4.0
149305,Rp 2.000.000 s.d. Rp 3.000.000,2.0,Tidak Bekerja,D-3/D2,Menumpang,Kab. Boyolali,650000.0,KIS/JKS/BPJS,Tidak Dapat,Hidup,Hidup,Menumpang,0.0,900.0,77.0,77.0,0.0,Genting tanah liat,Bata merah,Keramik,160.0,5000000.0,300000.0,"Pendidikan Seni Drama, Tari, dan Musik",Kab. Boyolali,SNBT,4.0
47038,"kurang dari Rp 1.000.000,-",0.0,Buruh,SD/MI Sederajat,Milik Sendiri,Kabupaten Boyolali ,500000.0,,-,Hidup,Hidup,Milik Sendiri,17000000.0,450.0,759.0,224.0,7150.0,genteng tanah liat,kayu,keramik,50000.0,10000000.0,50000.0,Sastra Inggris,Kabupaten Boyolali ,SNBT,4.0
62593,Rp 4.000.000 s.d. Rp 5.000.000,1.0,Wiraswasta,SLTA Sederajat,Menumpang,Kota Jakarta Selatan ,2500000.0,,-,Hidup,Hidup,Menumpang,4000000.0,4400.0,70.0,70.0,5625000.0,asbes,semen,keramik,270000.0,0.0,0.0,Seni Rupa,Kota Jakarta Selatan ,SNBP,4.0
43278,Rp 2.000.000 s.d. Rp 3.000.000,0.0,Pegawai Swasta,MA,Milik Sendiri,Kabupaten Boyolali ,800000.0,,Tidak Ada,Hidup,Hidup,Milik Sendiri,2.0,450.0,107.0,7.0,0.0,genting/tanah liat,batu bata/dinding plaster,keramik,159146.0,25000000.0,640950.0,Ilmu Politik,Kabupaten Boyolali ,SNBP,4.0
93390,Rp 3.000.000 s.d. Rp 4.000.000,1.0,Tidak Bekerja,D4,Menumpang,Kota Semarang ,2500000.0,KIS/JKS/BPJS,Tidak Dapat,Hidup,Hidup,Menumpang,7000000.0,1300.0,600.0,92.0,412608000.0,Genteng,Plesteran,Keramik,300000.0,20000000.0,2500000.0,Teknik Arsitektur,Kota Semarang ,SNBT,4.0
146816,Rp 4.000.000 s.d. Rp 5.000.000,2.0,Wiraswasta,SMA,Milik Sendiri,Kab. Jepara,1100000.0,KIS/JKS/BPJS,Tidak,Hidup,Hidup,Milik Sendiri,9000000.0,450.0,378.0,,64000.0,Genteng,Batu bata,Keramik,75000.0,10000000.0,0.0,Ilmu Hukum,Kab. Jepara,SNBP,4.0
75855,lebih dari Rp 5.000.000,0.0,Pegawai Swasta,S-1/D4,Kontrak,Kota Bekasi ,8000000.0,KIS/JKS/BPJS,Tidak Ada,Hidup,Hidup,Kontrak,10000000.0,1300.0,100.0,70.0,0.0,Kayu,Bata,Keramik 40x40,850000.0,1250000.0,1250000.0,Ilmu Hukum,Kota Bekasi ,SNBP,6.0
105265,"kurang dari Rp 1.000.000,-",0.0,Tidak Bekerja,MTs,Milik Sendiri,Kota Pekanbaru,2000000.0,KIS/JKS/BPJS,Tidak Dapat,Hidup,Hidup,Milik Sendiri,10000000.0,900.0,300.0,30.0,0.0,Seng,Batu bata,Semen,100000.0,3000000.0,300000.0,Pendidikan Bahasa Perancis,Kota Pekanbaru,SNBP,3.0
89000,Rp 4.000.000 s.d. Rp 5.000.000,2.0,Wiraswasta,MTs,Milik Sendiri,Kota Semarang ,2850000.0,KIS/JKS/BPJS,Tidak Ada,Hidup,Hidup,Milik Sendiri,82000000.0,900.0,200.0,110.0,823000.0,Genting,Batu Bata Merah,Keramik,350000.0,5000000.0,675000.0,Teknik Elektro,Kota Semarang ,SNBP,4.0
83578,Rp 2.000.000 s.d. Rp 3.000.000,1.0,Pegawai Swasta,SLTA Sederajat,Menumpang,Kota Semarang ,600000.0,KIS/JKS/BPJS,Tidak Dapat,Hidup,Meninggal,Menumpang,14000000.0,900.0,189.0,84.0,1200000.0,genting,semen,keramik dan tanah,200000.0,3000000.0,610000.0,Pendidikan Matematika,Kota Semarang ,SNBT,2.0
109907,lebih dari Rp 5.000.000,4.0,Pegawai Swasta,D-3/D2,Menumpang,Kota Tegal,3500000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Menumpang,8000000.0,900.0,236.0,110.0,394000.0,Genteng,Batu Bata,Keramik,450000.0,0.0,0.0,Pendidikan Guru Sekolah Dasar,Kota Tegal,SNBT,4.0
125242,lebih dari Rp 5.000.000,4.0,Pegawai Swasta,S1/D-4,Milik Sendiri,Kab. Pemalang,10000000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Milik Sendiri,142000000.0,900.0,280.0,54.0,243000.0,seng,bata merah,keramik,325000.0,200000000.0,6000000.0,Sastra Inggris,Kab. Pemalang,SNBP,7.0
76146,Rp 1.000.000 s.d. Rp 2.000.000,0.0,Tidak Bekerja,SD,Milik Sendiri,Kabupaten Pekalongan ,300000.0,KIS/JKS/BPJS,Tidak Ada,Meninggal,Hidup,Milik Sendiri,1.0,900.0,432.0,50.0,36000.0,genting,semen,keramik,9000.0,14000000.0,300000.0,Ilmu Sejarah,Kabupaten Pekalongan ,SNBP,3.0
150513,lebih dari Rp 5.000.000,3.0,Pegawai Swasta,S1/D-4,Menumpang,Kota Semarang,2000000.0,KIS/JKS/BPJS,Tidak Ada,Hidup,Hidup,Menumpang,26000000.0,2200.0,300.0,300.0,750000.0,Genting tanah liat,Bata dan semen,Keramik,1650000.0,26000000.0,1600000.0,Pendidikan Bahasa Jepang,Kota Semarang,SNBT,7.0
77452,"kurang dari Rp 1.000.000,-",1.0,Wiraswasta,SLTA Sederajat,Milik Sendiri,Kabupaten Banyuasin ,1.0,KIS/JKS/BPJS,Tidak Ada,Hidup,Hidup,Milik Sendiri,1.0,900.0,120.0,68.0,250.0,Genteng,Batu,Keramik,470.0,25.0,800.0,Pendidikan Tata Kecantikan,Kabupaten Banyuasin ,SNBP,3.0
124782,"kurang dari Rp 1.000.000,-",1.0,Petani,SMP,Milik Sendiri,Kab. Rembang,20000.0,KIS/JKS/BPJS,Tidak Ada,Hidup,Hidup,Milik Sendiri,4000000.0,450.0,348.0,70.0,27000.0,Genteng,Batu bata dan kayu,Keramik,19808.0,0.0,0.0,Pendidikan Kimia,Kab. Rembang,SNBP,3.0
124666,Rp 4.000.000 s.d. Rp 5.000.000,0.0,Buruh,MI,Milik Sendiri,Kab. Semarang,1500000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Milik Sendiri,18000000.0,900.0,239.0,70.0,48000.0,Asbes,Batako,Keramik,150000.0,10000000.0,650000.0,Sastra Inggris,Kab. Semarang,SNBP,4.0
146150,Rp 1.000.000 s.d. Rp 2.000.000,0.0,Buruh,SLTP Sederajat,Milik Sendiri,Kab. Pati,718000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Milik Sendiri,26000000.0,450.0,1496.0,90.0,27000.0,genteng,kayu,tanah,30000.0,0.0,0.0,Ilmu Hukum,Kab. Pati,SNBP,3.0
109400,Rp 3.000.000 s.d. Rp 4.000.000,1.0,Wiraswasta,D4,Milik Sendiri,Kota Semarang,4000000.0,KIS/JKS/BPJS,Tidak,Hidup,Hidup,Milik Sendiri,51000000.0,900.0,150.0,70.0,2352000.0,asbes,bata,tegel,257800.0,0.0,0.0,Farmasi,Kota Semarang,SNBT,5.0
93976,,,,,,Kota Tangerang ,,KIS/JKS/BPJS,Tidak Dapat,,,,,,,,,,,,,,,Ilmu Hukum,Kota Tangerang ,SNBT,7.0
107876,Rp 1.000.000 s.d. Rp 2.000.000,1.0,Petani,SMP,Menumpang,Kab. Sragen,800000.0,KIS/JKS/BPJS,-,Hidup,Hidup,Menumpang,2.0,450.0,424.0,210.0,36000.0,Genting,Batu bata,Tegel dan keramik,133000.0,0.0,0.0,Pendidikan Fisika,Kab. Sragen,SNBT,3.0
109225,lebih dari Rp 5.000.000,1.0,Tidak Bekerja,D3/D-2,Milik Sendiri,Kota Bekasi,2000000.0,KIS/JKS/BPJS,Tidak Dapat,Hidup,Hidup,Milik Sendiri,6000000.0,2200.0,72.0,60.0,1722000.0,asbes,batako/hebel,keramik,500000.0,0.0,0.0,Ilmu Hukum,Kota Bekasi,SNBT,5.0
103470,Rp 3.000.000 s.d. Rp 4.000.000,1.0,Petani,SD,Milik Sendiri,Kab. Pemalang,2000000.0,KIS/JKS/BPJS,Tidak Dapat,Hidup,Hidup,Milik Sendiri,15000000.0,900.0,11.0,7.0,27000.0,seng,diplester dan di cat rapi,keramik,250000.0,0.0,0.0,Ilmu Hukum,Kab. Pemalang,SNBP,4.0
106142,Rp 1.000.000 s.d. Rp 2.000.000,1.0,Wiraswasta,Tidak Lulus SD,Milik Sendiri,Kab. Pati,1000000.0,KIS/JKS/BPJS,kipk,Hidup,Hidup,Milik Sendiri,0.0,360.0,157.0,121.0,10000.0,Tanah Liat,Semen,Keramik,130000.0,0.0,0.0,Pendidikan Teknik Informatika dan Komputer,Kab. Pati,SNBP,0.0
